section	key	ru	uk	de	es	fr	pl	it	tr	pt	ro	bg	cs	sk	hu	el	sl	et	lt
Common	btn_cancel	Отмена	"=GOOGLETRANSLATE(C12; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C12; ""ru""; ""lt"")"
Common	btn_save	Сохранить	"=GOOGLETRANSLATE(C13; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C13; ""ru""; ""lt"")"
Common	btn_close	Закрыть	"=GOOGLETRANSLATE(C14; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C14; ""ru""; ""lt"")"
Common	btn_delete	Удалить	"=GOOGLETRANSLATE(C15; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C15; ""ru""; ""lt"")"
Common	btn_back	Назад	"=GOOGLETRANSLATE(C16; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C16; ""ru""; ""lt"")"
Common	loading	Загрузка...	"=GOOGLETRANSLATE(C17; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C17; ""ru""; ""lt"")"
Common	error_occurred	Произошла ошибка	"=GOOGLETRANSLATE(C18; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C18; ""ru""; ""lt"")"
Stats	achievements	📊 Мои достижения	"=GOOGLETRANSLATE(C19; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C19; ""ru""; ""lt"")"
Stats	word_of_day	Слово дня	"=GOOGLETRANSLATE(C20; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C20; ""ru""; ""lt"")"
Stats	flip_for_translation	Нажми, чтобы увидеть перевод	"=GOOGLETRANSLATE(C21; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C21; ""ru""; ""lt"")"
Stats	stats_mastered	Выучено слов	"=GOOGLETRANSLATE(C22; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C22; ""ru""; ""lt"")"
Stats	stats_in_progress	Всего в процессе	"=GOOGLETRANSLATE(C23; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C23; ""ru""; ""lt"")"
Stats	stats_total_xp	Общий счёт XP	"=GOOGLETRANSLATE(C24; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C24; ""ru""; ""lt"")"
Stats	stats_weekly_xp	Набрано за неделю	"=GOOGLETRANSLATE(C25; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C25; ""ru""; ""lt"")"
Stats	stats_categories	📁 Прогресс по категориям	"=GOOGLETRANSLATE(C26; ""ru""; ""uk"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""de"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""es"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""fr"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""pl"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""it"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""tr"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""pt"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""ro"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""bg"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""cs"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""sk"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""hu"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""el"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""sl"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""et"")"	"=GOOGLETRANSLATE(C26; ""ru""; ""lt"")"
